"Department","Position","Name","Firstname","Lastname","coursename"
"Mental Health","Assistant Scientist","Fix, Rebecca L.","Rebecca L.","Fix",NA
"International Health","Professor","Flexner, Charles","Charles","Flexner","390.631.01 Principles of Drug Development, 390.751.01 Seminars in Clinical Investigation, 390.801.01 Professional Goals and Objectives"
"Health Policy and Management","Professor","Flynn, John A.","John A.","Flynn",NA
"Health, Behavior and Society","Associate Professor","Fontaine, Kevin Robert","Kevin Robert","Fontaine",NA
"Health, Behavior and Society","Assistant Scientist","Footer, Katherine","Katherine","Footer",NA
"Health Policy and Management","Professor","Ford, Daniel E.","Daniel E.","Ford",NA
"Health Policy and Management","Associate Professor","Forrest, Christopher B.","Christopher B.","Forrest",NA
"Health Policy and Management","Assistant Professor","Fowler, Carolyn","Carolyn","Fowler","305.613.01 Evaluation-Informed Program Development and Implementation, 305.670.11 Principles and Practice of Injury Prevention, 305.865.11 Advanced Seminar in Injury Prevention"
"International Health","Professor","Fowler, Mary Glenn","Mary Glenn","Fowler",NA
"Health Policy and Management","Assistant Professor","Fox, Mary A.","Mary A.","Fox","317.600.01 Introduction to the Risk Sciences and Public Policy, 317.605.81 Methods in Quantitative Risk Assessment, 317.610.01 Risk Policy, Management and Communication, 317.615.81 Topics in Risk Assessment, 317.605.01 Methods in Quantitative Risk Assessment, 317.610.81 Risk Policy, Management and Communication, 317.615.01 Topics in Risk Assessment"
"Epidemiology","Associate Professor","Franco, Manuel","Manuel","Franco",NA
"Biostatistics","Professor","Frangakis, Constantine","Constantine","Frangakis","140.732.01 Statistical Theory II, 140.664.01 Causal Inference in Medicine and Public Health I, 140.733.01 Statistical Theory III, 140.665.01 Causal Inference in Medicine and Public Health II"
"Health Policy and Management","Associate Professor","Frattaroli, Shannon","Shannon","Frattaroli","300.731.01 Policy Communications: Reading, Writing and Talking About Policy, 300.712.01 Formulating Policy: Strategies and Systems of Policymaking in the 21St Century, 300.712.02 Formulating Policy: Strategies and Systems of Policymaking in the 21St Century, 550.601.01 Implementation Research and Practice"
"Health Policy and Management","Assistant Scientist","Frey, Katherine Parris","Katherine Parris","Frey",NA
"Health Policy and Management","Professor","Frick, Kevin","Kevin","Frick",NA
"International Health","Professor","Friedman, David","David","Friedman",NA
"International Health","Assistant Professor","Fritz, Katherine E.","Katherine E.","Fritz",NA
"Health, Behavior and Society","Professor","Frosst, Phyllis","Phyllis","Frosst",NA
"Environmental Health and Engineering","Assistant Scientist","Fry, Jillian Parry","Jillian Parry","Fry","180.622.01 Seafood and Public Health: From Production to Consumption"
"Mental Health","Professor","Furr-Holden, Debra","Debra","Furr-Holden",NA
"Environmental Health and Engineering","Professor","Gabrielson, Edward","Edward","Gabrielson",NA
"Environmental Health and Engineering","Associate Professor","Gabrielson, Kathleen L.","Kathleen L.","Gabrielson","187.620.01 Environmental Toxicological Pathology"
"Biostatistics","Professor","Gail, Mitchell H.","Mitchell H.","Gail",NA
"Health Policy and Management","Professor","Gaist, Paul A.","Paul A.","Gaist","410.614.11 A New View: Improving Public Health Through Innovative Social and Behavioral Tools and Approaches, 301.692.51 The Role of Community-Based Organizations (CBOS) and Non-Governmental Organizations (NGOS) in Improving Global Public Health"
"Epidemiology","Associate Professor","Galai, Noya","Noya","Galai",NA
"Mental Health","Professor","Gallo, Joseph","Joseph","Gallo","330.639.01 The Intersection of Mental and Physical Health, 330.621.11 Mixed Methods for Research in Public Health"
"Mental Health","Assistant Professor","Gallucci, Gerard","Gerard","Gallucci",NA
"Health Policy and Management","Assistant Professor","Gamaldo, Charlene Edie","Charlene Edie","Gamaldo",NA
"Epidemiology","Professor","Gange, Stephen J.","Stephen J.","Gange","340.722.60 Epidemiologic Inference in Public Health II, 340.722.81 Epidemiologic Inference in Public Health II, 340.601.93 Principles of Epidemiology, 340.708.11 Advanced Methods in Observational Studies: Design, 340.709.11 Advanced Methods in Observational Studies: Inference, 600.702.86 Intermediate Epidemiology"
"International Health","Assistant Professor","Garcia Larsen, Vanessa","Vanessa","Garcia Larsen",NA
"International Health","Professor","Garcia, Hector","Hector","Garcia",NA
"Health Policy and Management","Professor","Gaskin, Darrell J.","Darrell J.","Gaskin","309.716.01 Advanced Methods in Health Services Research: Analysis, 313.653.01 Microeconomic Models in Public Health I, 301.615.01 Seminar in Health Disparities, 313.654.01 Microeconomic Models in Public Health II, 313.655.01 Microeconomic Models in Public Health III, 313.656.01 Microeconomic Models in Public Health IV"
"Epidemiology","Professor","Gaydos, Charlotte Ann","Charlotte Ann","Gaydos",NA
"Epidemiology","Associate Professor","Gebo, Kelly A.","Kelly A.","Gebo",NA
"Epidemiology","Professor","Gelber, Allan C.","Allan C.","Gelber",NA
"Health Policy and Management","Professor","Geller, Gail","Gail","Geller","700.601.01 Foundations of Bioethics, 700.641.01 Germs, Genes, Patients, and Populations"
"Epidemiology","Assistant Professor","Genberg, Becky Lynn","Becky Lynn","Genberg",NA
"International Health","Professor","George, Asha","Asha","George",NA
"International Health","Associate Professor","George, Christine Marie","Christine Marie","George","180.602.01 Environment and Health in Low and Middle Income Countries"
"Health, Behavior and Society","Associate Professor","German, Danielle","Danielle","German","410.850.01 MHS Research Practicum in Health Behavior and Society, 410.881.01 MHS Seminar in Social Factors in Health I, 410.850.01 MHS Research Practicum in Health Behavior and Society, 410.850.01 MHS Research Practicum in Health Behavior and Society, 410.883.01 MHS in Social Factors in Health Seminar III, 410.711.01 Doctoral Seminar in Mixed Methods for Public Health Research, 410.850.01 MHS Research Practicum in Health Behavior and Society, 410.884.01 MHS Seminar in Social Factors in Health IV, 410.850.01 MHS Research Practicum in Health Behavior and Society"
"Population, Family and Reproductive Health","Associate Professor","Ghanem, Khalil G.","Khalil G.","Ghanem",NA
"International Health","Assistant Scientist","Gibson, Dustin","Dustin","Gibson",NA
"Health, Behavior and Society","Professor","Gielen, Andrea","Andrea","Gielen","410.620.81 Program Planning for Health Behavior Change"
"Health Policy and Management","Associate Professor","Gifford, Alice","Alice","Gifford",NA
"Population, Family and Reproductive Health","Professor","Gillespie, Duff G.","Duff G.","Gillespie","380.771.01 Understanding and Changing International Reproductive Health Policy"
"International Health","Professor","Gilman, Robert H.","Robert H.","Gilman","223.667.11 Chronic Diseases in Low and Middle Income Countries: Prevalence and Epidemiology, 223.668.11 Chronic Diseases in Low and Middle Income Countries: Study Design and Metrics, 223.684.11 Vector-Borne Diseases in the Tropics, 223.685.11 Tuberculosis, HIV and Other Chronic Infections in the Tropics, 223.688.11 Intestinal Infections in the Tropics, 223.660.13 Tropical Medicine and Parasitology, 223.686.13 Child and Public Health in the Tropics"
"Mental Health","Professor","Gilman, Stephen E.","Stephen E.","Gilman",NA
"Health, Behavior and Society","Associate Professor","Gioia-Hasick, Deborah","Deborah","Gioia-Hasick","410.690.01 Ethnographic Fieldwork"
"International Health","Professor","Gittelsohn, Joel","Joel","Gittelsohn","222.654.01 Food, Culture, and Nutrition"
"International Health","Associate Professor","Glass, Nancy E.","Nancy E.","Glass",NA
"Health, Behavior and Society","Senior Scientist","Goetzel, Ron Z.","Ron Z.","Goetzel","410.602.11 Evaluation of Workplace Health Promotion Programs"
"Environmental Health and Engineering","Professor","Goldberg, Alan","Alan","Goldberg",NA
"Epidemiology","Associate Professor","Golden, Sherita Hill","Sherita Hill","Golden",NA
"Health Policy and Management","Professor","Goldman, Lynn R.","Lynn R.","Goldman",NA
"Epidemiology","Associate Professor","Golub, Jonathan E.","Jonathan E.","Golub","340.612.01 Epidemiologic Basis for Tuberculosis Control, 340.612.81 Epidemiologic Basis for Tuberculosis Control, 340.612.89 Epidemiologic Basis for Tuberculosis Control, 340.681.11 Public Health Dimensions of Global Tuberculosis Control: New Tools and Interventions"
"Population, Family and Reproductive Health","Assistant Scientist","Gombojav, Narangerel","Narangerel","Gombojav",NA
"Health Policy and Management","Associate Professor","Gordon, Toby","Toby","Gordon",NA
"Epidemiology","Professor","Gottesman, Rebecca F.","Rebecca F.","Gottesman",NA
"Epidemiology","Associate Professor","Gower, Emily W.","Emily W.","Gower",NA
"Epidemiology","Assistant Professor","Grabowski, Mary Kathryn","Mary Kathryn","Grabowski","340.609.01 Concepts and Methods in Infectious Disease Epidemiology"
"Epidemiology","Associate Professor","Grams, Morgan ","Morgan ","Grams",NA
"International Health","Assistant Scientist","Grant, Lindsay R.","Lindsay R.","Grant","221.670.11 Collecting, Analyzing and Using Public Health Data in Native American Communities"
"Population, Family and Reproductive Health","Associate Professor","Grason, Holly A.","Holly A.","Grason",NA
"Epidemiology","Professor","Gravitt, Patti E.","Patti E.","Gravitt",NA
"Epidemiology","Professor","Gray, Ronald","Ronald","Gray",NA
"Health, Behavior and Society","Associate Professor","Green, Kerry M.","Kerry M.","Green",NA
"Health, Behavior and Society","Professor","Greenberg, Sheldon F.","Sheldon F.","Greenberg",NA
"Health Policy and Management","Associate Professor","Greene, Peter S","Peter S","Greene",NA
"Molecular Microbiology and Immunology","Professor","Griffin, Diane E.","Diane E.","Griffin","260.623.01 Fundamental Virology"
"Biostatistics","Associate Professor","Griswold, Michael","Michael","Griswold","140.608.11 Analysis of Longitudinal Data"
"Environmental Health and Engineering","Visiting Associate Professor","Gronvall, Gigi Kwik","Gigi Kwik","Gronvall","180.624.01 Biotechnology and Health Security"
"Environmental Health and Engineering","Professor","Groopman, John","John","Groopman","180.601.01 Environmental Health"
"Epidemiology","Assistant Professor","Gross, Alden L.","Alden L.","Gross","340.616.01 Epidemiology of Aging, 340.616.81 Epidemiology of Aging, 330.805.01 Seminar On Statistical Methods for Mental Health"
"Mental Health","Professor","Gross, Deborah","Deborah","Gross",NA
"Population, Family and Reproductive Health","Assistant Scientist","Gross, Susan Michelle","Susan Michelle","Gross","380.744.81 Nutrition and Growth in Maternal and Child Health, 380.740.81 Nutrition Programs, Policy and Politics in the United States: the Impact On Maternal, Child and Family Health"
"Epidemiology","Professor","Guallar, Eliseo","Eliseo","Guallar","340.680.01 Environmental and Occupational Epidemiology"
"Health Policy and Management","Assistant Professor","Gundlach, Ann-Michele","Ann-Michele","Gundlach","312.610.01 Foundations of Organizational Leadership, 312.610.01 Foundations of Organizational Leadership, 312.610.20 Foundations of Organizational Leadership, 312.610.11 Foundations of Organizational Leadership, 312.610.12 Foundations of Organizational Leadership"
"International Health","Associate Professor","Gupta, Amita","Amita","Gupta",NA
"Epidemiology","Professor","Gupta, Shiv Dutt","Shiv Dutt","Gupta","319.600.94 Quality Management in Health Care"
"International Health","Assistant Scientist","Gupta, Shivam","Shivam","Gupta","340.601.94 Principles of Epidemiology, 221.638.01 Health Systems Research and Evaluation in Developing Countries"
"Epidemiology","Associate Scientist","Gurley, Emily S.","Emily S.","Gurley","340.627.01 Epidemiology of Infectious Diseases, 340.627.81 Epidemiology of Infectious Diseases"
"Health Policy and Management","Assistant Professor","Gurses, Ayse P.","Ayse P.","Gurses","309.732.01 Human Factors in Patient Safety"
"Population, Family and Reproductive Health","Professor","Guyer, Bernard","Bernard","Guyer",NA
"Health, Behavior and Society","Assistant Professor","Gyarmathy, Anna","Anna","Gyarmathy",NA
"Epidemiology","Assistant Scientist","Haberlen, Sabina Annette","Sabina Annette","Haberlen",NA
"Health, Behavior and Society","Associate Professor","Hair, Elizabeth C.","Elizabeth C.","Hair",NA
"Environmental Health and Engineering","Associate Professor","Halden, Rolf U.","Rolf U.","Halden",NA
"International Health","Professor","Halsey, Neal","Neal","Halsey","223.662.81 Vaccine Development and Application"
"Molecular Microbiology and Immunology","Assistant Professor","Hamacher-Brady, Anne","Anne","Hamacher-Brady",NA
"International Health","Associate Professor","Hammitt, Laura L.","Laura L.","Hammitt","223.662.01 Vaccine Development and Application"
"Health, Behavior and Society","Assistant Professor","Han, Clara","Clara","Han",NA
"Health, Behavior and Society","Associate Professor","Han, Hae-Ra","Hae-Ra","Han",NA
"Epidemiology","Professor","Handa, Victoria L. ","Victoria L. ","Handa",NA
"Health, Behavior and Society","Assistant Scientist","Hannum, Susan M.","Susan M.","Hannum",NA
"Epidemiology","Assistant Scientist","Hanrahan, Colleen F.","Colleen F.","Hanrahan",NA
"Environmental Health and Engineering","Assistant Professor","Hansel, Nadia N.","Nadia N.","Hansel",NA
"Biostatistics","Assistant Professor","Hansen, Kasper Daniel","Kasper Daniel","Hansen","140.776.01 Statistical Computing"
"International Health","Associate Professor","Hansoti, Bhakti","Bhakti","Hansoti",NA
"Molecular Microbiology and Immunology","Professor","Hardwick, J. Marie","J. Marie","Hardwick","260.607.01 Core Discussion of Scientific Literature: MMI, 260.852.01 Molecular Biology Literature, 260.607.01 Core Discussion of Scientific Literature: MMI, 260.625.01 Scientific Grant Writing, 260.607.01 Core Discussion of Scientific Literature: MMI"
